Crops,Varieties,Season,Growth,Harvest,Market,District,Day,Month,Year,Min Price(Rs./Quintal),Max Price(Rs./Quintal),Modal Price(Rs./Quintal)
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,2,November,2020,1340,1440,1400
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,3,November,2020,1346,1466,1400
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,4,November,2020,1266,1460,1333
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,5,November,2020,1281,1693,1460
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,6,November,2020,1400,1449,1433
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,7,November,2020,1266,1568,1426
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,9,November,2020,1266,1960,1466
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,10,November,2020,1306,1789,1440
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,11,November,2020,1266,1446,1320
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,12,November,2020,1266,1840,1426
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,13,November,2020,1213,1533,1480
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,17,November,2020,1266,1666,1480
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,18,November,2020,1374,1533,1466
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,19,November,2020,1333,1533,1493
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,20,November,2020,1333,1675,1546
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,21,November,2020,1333,1533,1400
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,23,November,2020,1333,1533,1400
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,24,November,2020,1360,1536,1400
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,25,November,2020,1360,1596,1466
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,26,November,2020,1340,1537,1466
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,27,November,2020,1360,1573,1433
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,30,November,2020,1333,1533,1400
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,1,December,2020,1358,1517,1426
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,2,December,2020,1306,1533,1400
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,4,December,2020,1333,1533,1466
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,5,December,2020,1333,1666,1440
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,7,December,2020,1386,1680,1466
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,8,December,2020,1320,1589,1440
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,9,December,2020,1333,1597,1466
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,10,December,2020,1333,1553,1466
